sno	CandidateName	Party_Name	EVM Votes	Postal Votes	Total Votes	%Votes	constuency
9	SANT LAL	Lok Jan Shakti Party	32138	146	32284	24.04	SEEMA PURI(SC)
10	KANISHK SINGH	Independent	515	0	515	0.38	SEEMA PURI(SC)
11	NOTA	None of the Above	973	29	1002	0.75	SEEMA PURI(SC)
1	Jitender Mahajan	Bharatiya Janata Party	73377	496	73873	51.94	ROHTAS NAGAR
2	Vipin Sharma	Indian National Congress	5513	59	5572	3.92	ROHTAS NAGAR
3	Sarita Singh	Aam Aadmi Party	60389	243	60632	42.63	ROHTAS NAGAR
4	Trivender	Bahujan Samaj Party	608	11	619	0.44	ROHTAS NAGAR
5	Manish Kumar	Nyay Party	92	0	92	0.06	ROHTAS NAGAR
6	Sanjeev Kumar	Aapki Apni Party (Peoples)	226	0	226	0.16	ROHTAS NAGAR
7	Anupam Sharma	Independent	376	0	376	0.26	ROHTAS NAGAR
8	Pankaj Gupta	Independent	212	0	212	0.15	ROHTAS NAGAR
9	Mukesh Babu Saxena	Independent	112	0	112	0.08	ROHTAS NAGAR
10	NOTA	None of the Above	507	6	513	0.36	ROHTAS NAGAR
1	MOHD. AFZAL	Bahujan Samaj Party	348	4	352	0.27	SEELAMPUR
2	ABDUL REHMAN	Aam Aadmi Party	72611	83	72694	56.05	SEELAMPUR
3	KAUSHAL KUMAR MISHRA	Bharatiya Janata Party	35619	155	35774	27.58	SEELAMPUR
4	CHAUDHARY MATEEN AHMAD	Indian National Congress	20207	40	20247	15.61	SEELAMPUR
5	RAHISUDDIN AHMAD	Bahujan Maha Party	175	0	175	0.13	SEELAMPUR
6	SUKHDEB SINGH SINGH	Rashtriya Jansambhavna Party	151	0	151	0.12	SEELAMPUR
7	NOTA	None of the Above	311	0	311	0.24	SEELAMPUR
1	AJAY MAHAWAR	Bharatiya Janata Party	81336	461	81797	57.55	GHONDA
2	BHISHAM SHARMA	Indian National Congress	5448	36	5484	3.86	GHONDA
3	SHRIDUTT SHARMA	Aam Aadmi Party	53221	206	53427	37.59	GHONDA
4	ANIL SINGH	Sarvjan Lok Shakti Party	156	2	158	0.11	GHONDA
5	AVNI DHILWAL	Nyay Party	62	0	62	0.04	GHONDA
6	Dr. TEJPAL	Right to Recall Party	77	0	77	0.05	GHONDA
7	BIMLESH KUMAR SHARMA	Satya Bahumat Party	42	0	42	0.03	GHONDA
8	MANISH KUMAR	Mazdoor Kirayedar Vikas Party	131	0	131	0.09	GHONDA
9	MAN SINGH	Jindabad Kranti Party	91	0	91	0.06	GHONDA
10	REEMA	Rashtravadi Janata Party	73	0	73	0.05	GHONDA
11	K. P. RANGARI	Peoples Party of India (Democratic)	163	0	163	0.11	GHONDA
12	HARISH	Independent	120	0	120	0.08	GHONDA
13	NOTA	None of the Above	508	4	512	0.36	GHONDA
1	ANVEEKSHA JAIN	Indian National Congress	5109	22	5131	3.59	BABARPUR
2	GOPAL RAI	Aam Aadmi Party	84587	189	84776	59.39	BABARPUR
3	ZAHID ALI	Nationalist Congress Party	150	0	150	0.11	BABARPUR
4	DHARM SINGH	Bahujan Samaj Party	204	7	211	0.15	BABARPUR
5	NARESH GAUR	Bharatiya Janata Party	51323	391	51714	36.23	BABARPUR
6	KALI RAM	Peoples Party of India (Democratic)	114	0	114	0.08	BABARPUR
7	PRINCE KUMAR	Mazdoor Ekta Party	55	0	55	0.04	BABARPUR
8	SADEQUE MUNIRODDIN SHAIKH	Tipu Sultan Party	37	0	37	0.03	BABARPUR
9	JAKIR CHAUDHARY	Independent	54	0	54	0.04	BABARPUR
10	SHIVANI GAUR	Independent	164	0	164	0.11	BABARPUR
11	NOTA	None of the Above	327	3	330	0.23	BABARPUR
1	PRAVEEN KUMAR	Bahujan Samaj Party	4558	41	4599	2.77	GOKALPUR(SC)
2	FATEH SINGH	Nationalist Congress Party	418	2	420	0.25	GOKALPUR(SC)
3	RANJEET SINGH	Bharatiya Janata Party	68575	389	68964	41.5	GOKALPUR(SC)
4	S P SINGH	Indian National Congress	2212	21	2233	1.34	GOKALPUR(SC)
5	SURENDRA KUMAR	Aam Aadmi Party	88090	362	88452	53.22	GOKALPUR(SC)
6	RAVI KUMAR	Peoples Party of India (Democratic)	342	0	342	0.21	GOKALPUR(SC)
7	SHANU KUMAR	Aapki Apni Party (Peoples)	593	0	593	0.36	GOKALPUR(SC)
8	SUNITA DEVI	Nyay Party	137	0	137	0.08	GOKALPUR(SC)
9	NOTA	None of the Above	449	7	456	0.27	GOKALPUR(SC)
1	ALI MEHDI	Indian National Congress	5355	8	5363	2.89	MUSTAFABAD
2	JAGDISH PRADHAN	Bharatiya Janata Party	77845	301	78146	42.06	MUSTAFABAD
3	MAYUR BHAN	Nationalist Congress Party	288	0	288	0.16	MUSTAFABAD
4	SURESH KUMAR MALKANI	Bahujan Samaj Party	1185	19	1204	0.65	MUSTAFABAD
5	HAJI YUNUS	Aam Aadmi Party	98681	169	98850	53.2	MUSTAFABAD
6	ANIL KUMAR GUPTA	Lok Jan Shakti Party	234	0	234	0.13	MUSTAFABAD
7	IMRAN MATLUB KHAN	Tipu Sultan Party	42	0	42	0.02	MUSTAFABAD
8	KAMAL	Hindusthan Nirman Dal	59	0	59	0.03	MUSTAFABAD
9	POONAM	Nyay Party	80	0	80	0.04	MUSTAFABAD
10	MANISH KUMAR	Mazdoor Kirayedar Vikas Party	116	2	118	0.06	MUSTAFABAD
11	MURARI LAL	Aapki Apni Party (Peoples)	266	0	266	0.14	MUSTAFABAD
12	VIVEK TOMAR	National Youth Party	263	0	263	0.14	MUSTAFABAD
13	SUBHASH	Rashtriya Janmorcha	78	0	78	0.04	MUSTAFABAD
14	SHAMA PARVEEN	Independent	94	0	94	0.05	MUSTAFABAD
15	SHIV KUMAR	Independent	245	0	245	0.13	MUSTAFABAD
16	NOTA	None of the Above	459	3	462	0.25	MUSTAFABAD
1	ARBIND SINGH	Indian National Congress	2236	6	2242	1.17	KARAWAL NAGAR
2	DURGESH PATHAK	Aam Aadmi Party	88317	181	88498	46.29	KARAWAL NAGAR
3	NATHU RAM	Bahujan Samaj Party	818	6	824	0.43	KARAWAL NAGAR
4	MOHAN SINGH BISHT	Bharatiya Janata Party	96390	331	96721	50.59	KARAWAL NAGAR
5	RANJIT TIWARI	Communist Party of India  (Marxist)	413	1	414	0.22	KARAWAL NAGAR
6	IMRAN KHAN	Tipu Sultan Party	61	0	61	0.03	KARAWAL NAGAR
7	MOHD. ILIAS	SOCIAL DEMOCRATIC PARTY OF INDIA	169	0	169	0.09	KARAWAL NAGAR
8	PRADESH KUMAR RAGHAV	Sarvodaya Prabhat Party	63	0	63	0.03	KARAWAL NAGAR
9	BANDANA PANDEY	Socialist Party (India)	168	0	168	0.09	KARAWAL NAGAR
10	BHASKARANAND MUNDEPI	SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)	189	0	189	0.1	KARAWAL NAGAR
11	MOHD. MEHBOB ALAM	Rashtriya Republican Party	66	0	66	0.03	KARAWAL NAGAR
12	VIPIN KUMAR TIWARI	Rashtriya Rashtrawadi Party	104	0	104	0.05	KARAWAL NAGAR
13	SUNITA N. KUMAR	Peoples Party of India (Democratic)	257	0	257	0.13	KARAWAL NAGAR
14	HARISH	Mazdoor Kirayedar Vikas Party	81	0	81	0.04	KARAWAL NAGAR
15	AJAY SINGH RATHOR	Independent	206	0	206	0.11	KARAWAL NAGAR
16	MOHAN SINGH	Independent	248	0	248	0.13	KARAWAL NAGAR
17	YOGESH SWAMY	Independent	131	0	131	0.07	KARAWAL NAGAR
18	S.N. Singh	Independent	371	0	371	0.19	KARAWAL NAGAR
19	NOTA	None of the Above	370	3	373	0.2	KARAWAL NAGAR
