sno	CandidateName	Party_Name	EVM Votes	Postal Votes	Total Votes	%Votes	constuency
4	Laxman Rawat	Indian National Congress	2767	35	2802	1.97	PATPARGANJ
5	Pratap Chandra	Rashtriya Rashtrawadi Party	95	0	95	0.07	PATPARGANJ
6	Rakesh Suri	Right to Recall Party	60	0	60	0.04	PATPARGANJ
7	Vinay Kumar Singh	Janshakti Party (Rashtriya)	43	0	43	0.03	PATPARGANJ
8	Shatrughan Kumar Singh	Hindustani Awam Morcha (Secular)	46	0	46	0.03	PATPARGANJ
9	Sanjeev Bhati	Hindusthan Nirman Dal	184	0	184	0.13	PATPARGANJ
10	Surender Gupta	Janmat Party	321	0	321	0.23	PATPARGANJ
11	Gopal Prasad	Independent	77	0	77	0.05	PATPARGANJ
12	Manoj Kumar	Independent	79	0	79	0.06	PATPARGANJ
13	Surjeet Singh	Independent	215	0	215	0.15	PATPARGANJ
14	NOTA	None of the Above	524	5	529	0.37	PATPARGANJ
1	ABHAY VERMA	Bharatiya Janata Party	65462	273	65735	48.04	LAXMI NAGAR
2	JAI RAM LAL	Bahujan Samaj Party	439	7	446	0.33	LAXMI NAGAR
3	NITIN TYAGI	Aam Aadmi Party	64629	226	64855	47.4	LAXMI NAGAR
4	HARI DUTT SHARMA	Indian National Congress	4836	36	4872	3.56	LAXMI NAGAR
5	ANIMA OJHA	Right to Recall Party	77	1	78	0.06	LAXMI NAGAR
6	R D TIWARI	Lok Shakti Party (Loktantrik)	73	0	73	0.05	LAXMI NAGAR
7	DEEP KUMAR	Liberal Party of India	135	0	135	0.1	LAXMI NAGAR
8	NAMAHA	Lok Jan Shakti Party	76	0	76	0.06	LAXMI NAGAR
9	NOTA	None of the Above	545	5	550	0.4	LAXMI NAGAR
1	OM PRAKASH SHARMA	Bharatiya Janata Party	65335	495	65830	52.57	VISHWAS NAGAR
2	GURCHARAN SINGH	Indian National Congress	7801	80	7881	6.29	VISHWAS NAGAR
3	DILEEP GAUTAM	Bahujan Samaj Party	726	13	739	0.59	VISHWAS NAGAR
4	DEEPAK SINGLA	Aam Aadmi Party	49170	203	49373	39.42	VISHWAS NAGAR
5	ANIL KUMAR	National Youth Party	133	2	135	0.11	VISHWAS NAGAR
6	BABU RAM	Peoples Party of India (Democratic)	67	0	67	0.05	VISHWAS NAGAR
7	SADHNA	Jindabad Kranti Party	106	0	106	0.08	VISHWAS NAGAR
8	ASHOK SURANA	Independent	105	0	105	0.08	VISHWAS NAGAR
9	NEESHA	Independent	143	0	143	0.11	VISHWAS NAGAR
10	NOTA	None of the Above	834	20	854	0.68	VISHWAS NAGAR
1	Dr. Anil Goyal	Bharatiya Janata Party	67809	307	68116	46.38	KRISHNA NAGAR
